start_timecode,end_timecode,scene_description,summary,id,attachment_url,file_width,file_height
00:00.0,00:15.0,这是GOWEI工厂仓库内的一张照片，显示了排列整齐的一系列电动三轮车。这些三轮车都涂有鲜艳的蓝色和绿色，看起来是全新的，待发货。每辆三W车的尾部都带有品牌标识“GOWEI”，显然是该品牌的产品。整个场景给人一种干净、有序的印象。,GOWEI 电动三轮车工厂仓库,800bf25eebb104c17d8007555cdc359e,17171322288115886/origin_source/IMG_4270_origin.mp4,540,960
00:00.0,00:08.5,这张图片描绘了GOWEI电动三轮车的生产车间。图中显示了一些工作人员在车间内忙碌的场景。车间内部设施齐全，顶部布满了管道和电线，以及明显的工业风扇。地面上有蓝色的传送带，上面停放着几辆已经组装好的电动三轮车。整个车间布局整洁且条例明确，显示出该工厂的高效组织性和运作流程。,GOWEI 电动三轮车生产车间,3a8a00ee2de304f385b2b60a48f2fb47,17171322288115886/origin_source/IMG_2660_origin.mp4,540,960
00:00.0,00:09.5,图中展示了一位男士正在试驾一辆蓝色的GOWEI电动三轮车。三轮车位于一条由砾石和泥土混合的道路上，环境看起来较为乡村，后方停放着多辆车辆和一些存放杂物的棚子。此外，图中还可见一只狗的后半身，看似在跟随三轮车行驶。整个场景给人一种户外活动和测试新技术的即视感。,美国当地客户试驾GOWEI电动三轮车,fd1a96afe5e60aeadb0dc960055d5890,17171322288115886/origin_source/IMG_5697_origin.mp4,720,1280
00:00.0,00:28.8,在这张图像中，一位男士正在试驾一辆蓝色的GOWEI电动三轮车。三轮车装载着一些货物，背景为多云的天空和一些低矮的建筑。男士透过方向盘专注地望向前方，准备驾驶这辆实用的电动车。整体场景显示了电动三轮车在户外的使用情境。,美国当地客户试驾GOWEI电动三轮车,e0b737cd57672e91bdfa501edd0d3905,17171322288115886/origin_source/IMG_5698_origin.mp4,720,1280
00:00.0,00:07.3,一位使用者驾驶三轮车在农场上运送物品，背景有房屋和围栏，天气晴朗。,美国用户评价GOWEI电动三轮车,959c9383f86c4f93d8adec6fedd04f26,17171322288115886/origin_source/IMG_5699_origin.mp4,1280,720
00:00.0,00:03.1,这一场景显示了电动三轮车的正面视图，着重展示了灯光系统和前面板上的品牌标识。三轮车呈现鲜艳的蓝色，头灯设计显得现代且功能性强。,GOWEI EEC状态电动三轮车,8e692815e0bdff9e15e4c4b73ccf6bb0,17171322288115886/origin_source/1718181337_5Aaz3XBcbNkkndnb.mp4,720,1280
00:00.0,00:06.7,送外卖员穿着工作服坐在外卖电动车上，背靠湖面和建筑。,GOWEI 外卖车测评,f805cf43bc64ca8fcc07d5ed3ecb0005,17171322288115886/origin_source/1718246949_6mnP5zpwTXRzMWGj.mp4,1920,1080
00:00.0,00:02.4,公司外景展示现代化工业建筑，强调企业规模和形象。,这是一个有关电动车烤漆工艺流程的视频,2756d024691493f85927f6cc2de4a930,17171322288115886/origin_source/1718342368_F2EPzniFeBPKWRf5.mp4,1920,1080
00:00.0,00:03.4,电动三轮车在一条典型的乡村道路上行驶，道路两侧草丛茂密，天气晴朗，路面平坦。,GOWEI 休闲电动三轮车测评,766cac2273a287623b5aadfec3813a5f,17171322288115886/origin_source/1719558812_DwBHhbRG7eyh5Ghd.mp4,720,1280
00:00.0,00:11.6,这张图片显示了一个装货场景，一台红色叉车正在向一辆开着货箱的卡车装载货物。货物包括几个排列整齐的箱子。卡车停放在一个似乎是物流或工业区域的平坦广场上，场景中还可见其他卡车和集装箱。这个场景典型地体现了货运、物流操作。,GOWEI 装柜,0bc9be1ff0c3c6ba26c2149ced85ce7d,17171322288115886/origin_source/1718256971_JM7bpYeieExsirPj.mp4,1280,720
00:00.0,00:02.0,一位工人操作叉车，把货物装载到卡车上。,GOWEI 装柜,83001830ec8d6bc0b79e3e6abe484e33,17171322288115886/origin_source/1718256766_WinMGTSTxFxHWKam.mp4,720,720
00:00.0,00:01.0,远景中展示了一排存放着大量蓝色集装箱的仓库区域，背景模糊。,GOWEI 装柜,1fbd9a836fd91108df4a9264fb4148ce,17171322288115886/origin_source/1718256987_yzwyJ6SKJbAanFQp.mp4,720,720
00:00.0,00:01.0,显示了三轮车的仪表盘，具有明晰的速度、电量显示和一些基本的功能指示，例如“驾驶”模式。,GOWEI休闲电动三轮车介绍,da491b1ad45ed3e1501ba363616561d1,17171322288115886/origin_source/1719561649_pSmmz52NGW2hdRzt.mp4,1280,720
00:00.0,00:09.9,一名男性工人正站在一台大型机器旁，似乎在进行组装或维修工作。机器的颜色为蓝色，周围散落着各种工具和零件，营造出一种忙碌而有序的工作环境。车间内部光线充足，顶部装有多个大型吊扇，保持空气流通。,GOWEI电动三轮车生产流水线,79a817dab672099be62b350576d1477f,17171322288115886/origin_source/IMG_3221_origin.mp4,540,960
00:00.0,00:18.0,图像显示了一辆红色的GOWEI品牌电动三轮车的驾驶区部分。可以看到三轮车的方向手柄，其中包括一个黑色的握把和一个中央的数字仪表显示屏。屏幕上没有显示信息。背景中可以隐约看到部分车身和车后的黑色货架。图像底部的文字介绍了这款三轮车，指出它适合老年人和女性使用，外观好看，质量和性能都很高。,GOWEI3.0-8真空轮胎休闲电动三轮车介绍,3061a8996ab34025775c4e86a7c64c50,17171322288115886/origin_source/1719561016_bbEjANpJrDz7HeYt.mp4,1440,1080
00:00.0,00:25.7,这张图片展示了几款不同颜色的电动三轮车停放在一个室内场所，可能是一个展示厅。最前方的三轮车为浅蓝色，配备了全封闭的驾驶舱。红色和白色的三轮车则拥有开放式的座位设计，看起来更为休闲。这些电动三轮车看似专为便捷的城市或休闲出行设计。背景中还有一些植物，增添了一些自然的氛围。整体场景展现了这些电动三轮车的多样性和适用性。,GOWEI60v20ah铅酸电池休闲电动三轮车介绍,5d01d2ce29f51161afca37bb46717824,17171322288115886/origin_source/1719561016_7EpAXDpA7iFmyHcz.mp4,1280,720
00:00.0,00:03.9,女主持人介绍电动车的环境下，散发自信与专业的氛围。,GOWEI CP900电动两轮车,c88765ddcf54a81fa42a015b865ce021,17171322288115886/origin_source/1718246241_HGRMSQmP7bcQtE3T.mp4,1080,1920
00:00.0,00:01.2,图中展示了一辆停在路边的ROCKET电动车。电动车的颜色为白色，配有深棕色的座垫，显得简洁而时尚。车辆定位在宽阔的道路旁，背景中可以看到多辆车辆和一些绿色植被，环境较为开阔。电动车边缘的轮胎细节清晰，前轮配有现代化的合金轮毂设计。,ROCKET电动车展示视频,f77e8219393719e0e690805173cebcf7,17171322288115886/origin_source/1720420989_MHXiR7JKjxB2zYis.mp4,1280,720
00:00.0,00:30.5,Vespa电动车的侧面外观，淡雅的蓝色调，设计简洁，线条流畅，车身表面干净整洁，无明显的磨损痕迹。车辆侧板上设计有多个螺钉，突出了其坚固的制造工艺。座椅为深褐色，与蓝色车身形成对比，增加了视觉美感。,Vespa电动车,c2e6d2e4de71f11d158bfb1279644bc2,17171322288115886/origin_source/1720493542_CB78WyJXDKf52SSS.mp4,640,368
00:00.0,00:01.0,一辆黑色的Vespa电动车停放在户外绿地上，整洁，背景有高楼和树木。,Vespa电动车应用,8195408f5ebdce8a3f76ad907e1f5dfb,17171322288115886/origin_source/1720493464_R2MffJS7kS7aesjk.mp4,960,720
00:00.0,00:10.6,外部厂区景象，显示了厂区的宽敞道路以及规整的建筑布局，凸显了工厂的现代化和规模。,Vespa电动车工厂介绍,0e6daada0f47215fa1e88d27a9a90be2,17171322288115886/origin_source/1718246614_K2DRnz7X7dbXCi4Z.mp4,960,544
00:01.0,00:04.1,车厢开启的大型货车正准备离开或已经到达装货地点，背景有树木和部分建筑。,GOWEI 装柜,9aac59886b5ecb5155c9df38ac772228,17171322288115886/origin_source/1718256987_yzwyJ6SKJbAanFQp.mp4,720,720
00:01.0,00:03.1,同样展示了仪表盘，但关注在速度与电量的另一种显示方式上，提供不同的用户界面设计。,GOWEI休闲电动三轮车介绍,76407bcb54c69936f298c6db1a44a6e3,17171322288115886/origin_source/1719561649_pSmmz52NGW2hdRzt.mp4,1280,720
00:01.0,00:02.1,展示电动车的侧面线条和设计细节。,Vespa电动车应用,563daf7e06b6206aecb0c1ec32cd3129,17171322288115886/origin_source/1720493464_R2MffJS7kS7aesjk.mp4,960,720
00:01.2,00:36.7,此图为ROCKET电动车的另一个角度视图，更接近侧面和前方视角。车辆的设计线条流畅，车头部分设有较大的储物箱和方便的手把。电动车的前部带有一灯具和信号灯，提供了良好的照明和指示标识。同样，车辆的颜色为白色和棕色，与第一场景中的车辆一致，保持了风格统一。,ROCKET电动车展示视频,83030fc967f6cb2f63d11a592d60e8e6,17171322288115886/origin_source/1720420989_MHXiR7JKjxB2zYis.mp4,1280,720
00:02.0,00:02.8,两位工人在卡车旁忙碌，一位站在卡车外，另一位在卡车内部搬运货物。,GOWEI 装柜,a7a83819bbbf2a068f79ba8637350a45,17171322288115886/origin_source/1718256766_WinMGTSTxFxHWKam.mp4,720,720
00:02.1,00:03.0,展示车辆的另一侧视角，呼应中上图，展示设计的对称性。,Vespa电动车应用,1a2eeff45f819aab8eb8e62dcda7f3f8,17171322288115886/origin_source/1720493464_R2MffJS7kS7aesjk.mp4,960,720
00:02.4,00:09.2,流水线长廊两侧设置清洁流水线，表明工厂内部管理有序，重视产品质量控制。,这是一个有关电动车烤漆工艺流程的视频,454d623cdb7b51ff4e73f1aee1ba2fd0,17171322288115886/origin_source/1718342368_F2EPzniFeBPKWRf5.mp4,1920,1080
00:02.8,00:04.0,穿蓝色工作服的工人在操作电动叉车提升货物。,GOWEI 装柜,ac37e9618c04613368f2ffab3cbc9ad2,17171322288115886/origin_source/1718256766_WinMGTSTxFxHWKam.mp4,720,720
00:03.0,00:03.9,显示了三辆不同颜色的Vespa电动车集中展示，强调多样的颜色选项和设计。,Vespa电动车应用,8070d5190731be45f8dd286c2cddf1a3,17171322288115886/origin_source/1720493464_R2MffJS7kS7aesjk.mp4,960,720
00:03.1,00:06.1,场景展示了三轮车的侧面全貌，包括驾驶室和货车部分。可以看到车辆结构设计合理，货舱空间宽敞，侧面也有品牌标识。,GOWEI EEC状态电动三轮车,55ae793b4d7beec0515afd3dce064c67,17171322288115886/origin_source/1718181337_5Aaz3XBcbNkkndnb.mp4,720,1280
00:03.1,00:04.9,展示了一个更现代化和科技感强的仪表盘，显示速度和电量，同时包含了“READY”和“SPORT”模式提示。,GOWEI休闲电动三轮车介绍,71f77d1a6cd5e5d0eb86a150ee738847,17171322288115886/origin_source/1719561649_pSmmz52NGW2hdRzt.mp4,1280,720
00:03.4,00:06.2,电动三轮车在相同的乡村道路上行驶，强调了车辆在直路上的稳定性和舒适性。,GOWEI 休闲电动三轮车测评,eb54dd39d9f336feaa7d1ad34c0cd2f3,17171322288115886/origin_source/1719558812_DwBHhbRG7eyh5Ghd.mp4,720,1280
00:03.9,00:04.6,特写GOWEI CP900停放在户外，集中展示车辆的正面和设计细节。,GOWEI CP900电动两轮车,18f717e1d5924d1e08bd1376c2809ca3,17171322288115886/origin_source/1718246241_HGRMSQmP7bcQtE3T.mp4,1080,1920
00:03.9,00:05.0,特写电动车的数字化仪表盘，显示速度和电量等信息，突出现代化技术集成。,Vespa电动车应用,0ee1b4eda1c0672b1465cbf2b7059013,17171322288115886/origin_source/1720493464_R2MffJS7kS7aesjk.mp4,960,720
00:04.0,00:05.0,红衣工人在卡车内部搬动大型纸箱，另一位工人在外部协助。,GOWEI 装柜,a58ab5716a6370d29c8d037dfcbd5833,17171322288115886/origin_source/1718256766_WinMGTSTxFxHWKam.mp4,720,720
00:04.1,00:06.6,一辆带有"GOWEI"标志的大型卡车，正在运送装满货物的集装箱，前往下一个目的地。,GOWEI 装柜,708021a3ca6465e16da8617506cf96a1,17171322288115886/origin_source/1718256987_yzwyJ6SKJbAanFQp.mp4,720,720
00:04.6,00:05.0,从侧面展示GOWEI CP900，强调其动感设计和运动风格。,GOWEI CP900电动两轮车,53dd7ab92fcbcd7c2161bcbc8225fec9,17171322288115886/origin_source/1718246241_HGRMSQmP7bcQtE3T.mp4,1080,1920
00:04.9,00:06.7,正面全景图，展现了三轮车的完整正面造型，包括品牌标志和车灯，设计现代。,GOWEI休闲电动三轮车介绍,9f2bc23a972746243f9d4a95202be13f,17171322288115886/origin_source/1719561649_pSmmz52NGW2hdRzt.mp4,1280,720
00:05.0,00:06.0,工人站立调整监视器旁边，好像在查看或确认仓库内的情况。,GOWEI 装柜,d75fddf665d93d57f70804082847868a,17171322288115886/origin_source/1718256766_WinMGTSTxFxHWKam.mp4,720,720
00:05.0,00:05.9,近距离特写电动车的前部，展示灯光和车标配置。,GOWEI CP900电动两轮车,37d2331b2faba03c77ff3e835915953b,17171322288115886/origin_source/1718246241_HGRMSQmP7bcQtE3T.mp4,1080,1920
00:05.0,00:06.1,另一个角度的仪表盘特写，更加突出驾驶视角下的信息展示与易用性。,Vespa电动车应用,f8af9064680b31adee8c880bee042b0c,17171322288115886/origin_source/1720493464_R2MffJS7kS7aesjk.mp4,960,720
00:05.9,00:06.2,斜角视图展示电动车，突出其整体设计和颜色搭配。,GOWEI CP900电动两轮车,d4f9c56df69e99f74c6a07b63330b57f,17171322288115886/origin_source/1718246241_HGRMSQmP7bcQtE3T.mp4,1080,1920
00:06.0,00:07.0,两名工人在技术设备或机械旁边工作，可能是在进行机器的设定或维护。,GOWEI 装柜,5133e0bc18db83d99b57d6228efe92f0,17171322288115886/origin_source/1718256766_WinMGTSTxFxHWKam.mp4,720,720
00:06.1,00:09.2,该场景是从电动三轮车的后部拍摄的，突出显示了车辆的尾灯和车厢。从这个角度可以看到三轮车较大的载货能力和稳固的车身结构。,GOWEI EEC状态电动三轮车,229529d8b380a1a6e5dd29afe3bf1239,17171322288115886/origin_source/1718181337_5Aaz3XBcbNkkndnb.mp4,720,1280
00:06.1,00:07.1,内部构造特写，展示电动车的储物空间和其中放置的安全头盔等物品，强调实用性。,Vespa电动车应用,9dde7b5e1cf4918a15ab63deca9a927a,17171322288115886/origin_source/1720493464_R2MffJS7kS7aesjk.mp4,960,720
00:06.2,00:15.6,电动三轮车接近一个十字路口，有交通标志和减速带，测试了其在更复杂交通环境中的表现。,GOWEI 休闲电动三轮车测评,1438b042f7b0d475ba11254a162ff864,17171322288115886/origin_source/1719558812_DwBHhbRG7eyh5Ghd.mp4,720,1280
00:06.2,00:15.1,女主持人操作电动车的一瞬，突出其便捷的使用性。,GOWEI CP900电动两轮车,fff5c15b7b9e23534b56c085b4f8fc1d,17171322288115886/origin_source/1718246241_HGRMSQmP7bcQtE3T.mp4,1080,1920
00:06.6,00:09.1,大型卡车载着一个带有明显"MAERSK"标志的集装箱，此集装箱很可能含有海运货物。,GOWEI 装柜,700bd2287d36c555abcf462f6f38e86b,17171322288115886/origin_source/1718256987_yzwyJ6SKJbAanFQp.mp4,720,720
00:06.7,00:09.1,风景优美的桥和传统建筑，反映外卖车用于配送服务的环境。,GOWEI 外卖车测评,db6b57a1bb6be9eee5c20f2deec08952,17171322288115886/origin_source/1718246949_6mnP5zpwTXRzMWGj.mp4,1920,1080
00:06.7,00:08.4,同样是全景图，但着重展示了红色款式的三轮车，强调了其鲜艳的颜色和明显的外观设计。,GOWEI休闲电动三轮车介绍,8c60a08370d627f081e49f4c800ffd1d,17171322288115886/origin_source/1719561649_pSmmz52NGW2hdRzt.mp4,1280,720
00:07.0,00:08.0,两名工人在对一台类似打印机或大型机械设备的维修或操作。,GOWEI 装柜,e0d3ca843a368382890bc0d5a21e5da2,17171322288115886/origin_source/1718256766_WinMGTSTxFxHWKam.mp4,720,720
00:07.1,00:08.1,着重于内部储物空间，但从另一个角度展示，更加全面地展示存储容量。,Vespa电动车应用,06705f8e209c2db2d6b842d3a6f9a3cb,17171322288115886/origin_source/1720493464_R2MffJS7kS7aesjk.mp4,960,720
00:07.3,00:23.6,三轮车用于携带和喂养农场中的羊，羊群围绕着停放的三轮车。,美国用户评价GOWEI电动三轮车,63235a4c7bf460d7dd1935ad95cee6a2,17171322288115886/origin_source/IMG_5699_origin.mp4,1280,720
00:08.0,00:08.3,两名工人继续忙碌于同一台大型机械的操作或维护工作。,GOWEI 装柜,6f5387de063b459c3aed9740fae1f8fb,17171322288115886/origin_source/1718256766_WinMGTSTxFxHWKam.mp4,720,720
00:08.1,00:09.0,聚焦于电动车的前方和驾驶器械，包括后视镜和手把，展示车辆控制部分的细节。,Vespa电动车应用,d6e02e4a113bcf7d2ca483add4c50154,17171322288115886/origin_source/1720493464_R2MffJS7kS7aesjk.mp4,960,720
00:08.4,00:10.2,显示的是三轮车的座椅部分，特别突出了座椅的设计和安全结构，适合乘客舒适与安全。,GOWEI休闲电动三轮车介绍,85339e6a00f04c19572c3ddc0d1ea25e,17171322288115886/origin_source/1719561649_pSmmz52NGW2hdRzt.mp4,1280,720
00:09.0,00:36.1,图像中显示一位穿着棕色外套和戴着白色摩托车头盔的人正在驾驶一辆白色的Vespa电动车。周围环境是一个日晒充足的公园，有绿色的草地和行道树。这种场景表现了Vespa电动车在城市公园环境中的使用情况。,Vespa电动车应用,3e0f46bf7a9eccc077d81fda8809f11f,17171322288115886/origin_source/1720493464_R2MffJS7kS7aesjk.mp4,960,720
00:09.1,00:10.1,专注于送外卖员的装备和衣物细节，突出其专业性。,GOWEI 外卖车测评,2c5b82205344002d1b9b4cd1d2b49709,17171322288115886/origin_source/1718246949_6mnP5zpwTXRzMWGj.mp4,1920,1080
00:09.1,00:11.4,一个重载的卡车正行驶在公路上，承载着两个堆叠的红色货柜，车身上有"GOWEI"的标识。,GOWEI 装柜,d0c54e7ce13cb17311eb1c4ae2b71d4c,17171322288115886/origin_source/1718256987_yzwyJ6SKJbAanFQp.mp4,720,720
00:09.2,00:12.3,此场景给出了驾驶室的内部视图，展示了仪表盘、方向盘和坐椅等内饰细节。内部布局简洁实用，重点在于功能性和操作的便利。,GOWEI EEC状态电动三轮车,efd2b590ea86ffb298a9c2e7e735f0d4,17171322288115886/origin_source/1718181337_5Aaz3XBcbNkkndnb.mp4,720,1280
00:09.2,00:11.0,工作人员整理材料贮存区，显示工厂对材料存储的系统性和条理性。,这是一个有关电动车烤漆工艺流程的视频,2c2680bc50ce871f5a9b537e46c2df64,17171322288115886/origin_source/1718342368_F2EPzniFeBPKWRf5.mp4,1920,1080
00:09.9,00:13.5,展示了已经完工或正在准备装配的电动三轮车的零部件。大量的车轮和其他零部件整齐地堆放在仓库的货架上。一些橙色的电缆和其他配件也被有序地放置在地面上或货架上。场景中没有明显的人物活动，更多地强调了材料的储存和前期准备工作。背景中的灯光和建筑结构显示出现代化的工业环境。,GOWEI电动三轮车生产流水线,b7c96ce71211809f08c67a552bd99555,17171322288115886/origin_source/IMG_3221_origin.mp4,540,960
00:10.1,00:12.2,电动车停放在湖边木栈道上，突出设计和自然环境融合。,GOWEI 外卖车测评,a40c76224ecbe43d55bdb4b1ac98b7d9,17171322288115886/origin_source/1718246949_6mnP5zpwTXRzMWGj.mp4,1920,1080
00:10.2,00:12.0,侧面视角，描绘了三轮车的整体设计和较为紧凑的车身结构，突出便捷的入门设计。,GOWEI休闲电动三轮车介绍,a264e2fb9b4e6c772bb2e92a62e58bfe,17171322288115886/origin_source/1719561649_pSmmz52NGW2hdRzt.mp4,1280,720
00:10.6,00:21.8,员工在电动车装配线上工作，装配线运转中，显示了生产线的忙碌和效率。,Vespa电动车工厂介绍,05eb1cb2b5a7c6ec801b515ee8c90de1,17171322288115886/origin_source/1718246614_K2DRnz7X7dbXCi4Z.mp4,960,544
00:11.0,00:11.5,展示多种车辆部件原材料，员工准备和处理零部件以备上色。,这是一个有关电动车烤漆工艺流程的视频,697bf83eb955aef16de635a93c1c350c,17171322288115886/origin_source/1718342368_F2EPzniFeBPKWRf5.mp4,1920,1080
00:11.4,00:11.9,清晰显示一辆装满货物的大型卡车，准备从停车场或装卸区驶出。,GOWEI 装柜,5313df498aa7aada5d9040ac27e2d117,17171322288115886/origin_source/1718256987_yzwyJ6SKJbAanFQp.mp4,720,720
00:11.5,00:12.8,更多零部件被摆放和预处理，备于烤漆。,这是一个有关电动车烤漆工艺流程的视频,b49bd7b5e4ada3ed762d7ca66c211193,17171322288115886/origin_source/1718342368_F2EPzniFeBPKWRf5.mp4,1920,1080
00:11.9,00:14.0,重点展示一个空闲的机动托盘（可能用于移动和装卸重型货物），前景模糊。,GOWEI 装柜,23206d94595918448bb8b252dac07626,17171322288115886/origin_source/1718256987_yzwyJ6SKJbAanFQp.mp4,720,720
00:12.0,00:13.8,详细展示了三轮车的驾驶舱区域，从另一个角度看，强调驾驶的舒适性和操作便利性。,GOWEI休闲电动三轮车介绍,1ae89a68b1169443f732c75efc6b15b1,17171322288115886/origin_source/1719561649_pSmmz52NGW2hdRzt.mp4,1280,720
00:12.2,00:12.6,外卖电动车展示设计和结构特点，如颜色和商标。,GOWEI 外卖车测评,0d1d6db65b4e866c9e30ac1f38c88d72,17171322288115886/origin_source/1718246949_6mnP5zpwTXRzMWGj.mp4,1920,1080
00:12.3,00:15.3,最后一个场景是从左前方45度角拍摄的，提供了三轮车一个综合的视角，包括了车头、侧门和部分货舱。这一角度展示了电动三轮车的动态设计和实用特性。,GOWEI EEC状态电动三轮车,76f6f8a8e37c362ac07610760c006afe,17171322288115886/origin_source/1718181337_5Aaz3XBcbNkkndnb.mp4,720,1280
00:12.6,00:13.2,聚焦于电动车的头灯部分，显示前灯设计和技术细节。,GOWEI 外卖车测评,1dbcbb616e12050ab046d1c734375604,17171322288115886/origin_source/1718246949_6mnP5zpwTXRzMWGj.mp4,1920,1080
00:12.8,00:13.3,工作人员对部件进行初步喷漆处理，使用专业喷枪设备。,这是一个有关电动车烤漆工艺流程的视频,ccf4fbb28c605abaa689488ea2c832b8,17171322288115886/origin_source/1718342368_F2EPzniFeBPKWRf5.mp4,1920,1080
00:13.2,00:14.0,外卖电动车在人行道上，突出城市中的应用场景。,GOWEI 外卖车测评,bbb881b6f251dfd581071c076f4fa494,17171322288115886/origin_source/1718246949_6mnP5zpwTXRzMWGj.mp4,1920,1080
00:13.3,00:15.0,聚焦于对更复杂形状部件的喷漆过程，工作人员需精细操作以确保涂层均匀。,这是一个有关电动车烤漆工艺流程的视频,5d54969780627fee12d34ded10461982,17171322288115886/origin_source/1718342368_F2EPzniFeBPKWRf5.mp4,1920,1080
00:13.8,00:15.6,从后方视角展示了三轮车，侧重于其独特的顶部保护架和紧凑的后部设计，展示了整车的侧后方造型。,GOWEI休闲电动三轮车介绍,fc7824abc336a93d210b4d6afc6f1d1d,17171322288115886/origin_source/1719561649_pSmmz52NGW2hdRzt.mp4,1280,720
00:14.0,00:14.8,送外卖员手握电动车把手，聚焦操作和控制。,GOWEI 外卖车测评,b7a87cf3d9921e04410d92591f011b07,17171322288115886/origin_source/1718246949_6mnP5zpwTXRzMWGj.mp4,1920,1080
00:14.0,00:14.5,近距离显示了同一机动托盘的不同角度，聚焦在装备的详情上，如轮胎和金属结构。,GOWEI 装柜,b45fb95f133748727468be5c801bec43,17171322288115886/origin_source/1718256987_yzwyJ6SKJbAanFQp.mp4,720,720
00:14.5,00:17.1,展示了另一辆装有"MAERSK"标志集装箱的货车，车身侧面和部分车轮可见，处于行驶状态。,GOWEI 装柜,1da148ede02cdc84a25d85cff373cd5a,17171322288115886/origin_source/1718256987_yzwyJ6SKJbAanFQp.mp4,720,720
